Číslo přejezdu železniční	Název definičního úseku 	Žkm přejezdu	Přejezd s trolejovým vedením	Třída pozemní komunikace	Číslo pozemní komunikace	Místní název přejezdu	Zeměpisná šířka	Zeměpisná délka
P3838	Kralice nad Oslavou - Náměšť nad Oslavou	26,298	Ne	O		není	49° 11' 09.51943'' N	16° 10' 28.18420'' E
P3839	Kralice nad Oslavou - Náměšť nad Oslavou	26,897	Ne	III.	39212	není	49° 11' 24.79706'' N	16° 10' 11.55956'' E
P3840	Kralice nad Oslavou - Náměšť nad Oslavou	27,262	Ne	O		není	49° 11' 31.63844'' N	16° 09' 57.59311'' E
P3841	Kralice nad Oslavou - Náměšť nad Oslavou	29,159	Ne	B		Boženy Němcové	49° 12' 19.00491'' N	16° 09' 06.93084'' E
P3842	Náměšť nad Oslavou - Studenec	30,066	Ne	O		K lomu	49° 12' 36.48891'' N	16° 08' 31.50555'' E
P3843	Náměšť nad Oslavou - Studenec	31,85	Ne	O		není	49° 12' 47.94520'' N	16° 07' 07.93440'' E
P3844	Náměšť nad Oslavou - Studenec	33,016	Ne	O		není	49° 12' 53.50396'' N	16° 06' 14.88197'' E
P3845	Náměšť nad Oslavou - Studenec	33,566	Ne	O		není	49° 12' 59.63649'' N	16° 05' 50.72537'' E
P3846	Náměšť nad Oslavou - Studenec	34,103	Ne	O		není	49° 13' 09.74730'' N	16° 05' 29.64899'' E
P3848	Náměšť nad Oslavou - Studenec	35,153	Ne	III.	3907	K Častoticím	49° 13' 18.16764'' N	16° 04' 40.55922'' E
P3849	Studenec - Vladislav	36,096	Ne	III.	3908	není	49° 13' 22.24312'' N	16° 03' 54.41845'' E
P3852	Studenec - Vladislav	37,953	Ne	O		není	49° 13' 16.91818'' N	16° 02' 25.55385'' E
P3853	Studenec - Vladislav	38,753	Ne	O		není	49° 13' 00.97575'' N	16° 01' 56.68020'' E
P3854	Studenec - Vladislav	39,47	Ne	III.	39015	není	49° 12' 50.07115'' N	16° 01' 26.37251'' E
P3855	Studenec - Vladislav	42,364	Ne	MK		není	49° 12' 41.36036'' N	15° 59' 15.24147'' E
P3856	Studenec - Vladislav	42,805	Ne	III.	39018	není	49° 12' 42.64385'' N	15° 58' 53.62171'' E
P3857	Studenec - Vladislav	43,488	Ne	O		není	49° 12' 46.33391'' N	15° 58' 20.42916'' E
P3858	Studenec - Vladislav	43,634	Ne	I.	23	není	49° 12' 45.59332'' N	15° 58' 13.29754'' E
P3859	Vladislav - Třebíč	44,545	Ne	O		není	49° 12' 47.65042'' N	15° 57' 28.60309'' E
P3860	Vladislav - Třebíč	45,485	Ne	O		není	49° 12' 52.91272'' N	15° 56' 42.83669'' E
P3861	Vladislav - Třebíč	46,536	Ne	O		U řeky	49° 12' 45.22510'' N	15° 55' 54.45736'' E
P3862	Vladislav - Třebíč	49,591	Ne	MK			49° 12' 40.37131'' N	15° 53' 26.66349'' E
P3863	Třebíč - Krahulov	50,315	Ne	B	2100	ul. Sv. Čecha	49° 12' 40.77059'' N	15° 52' 50.86783'' E
P3864	Třebíč - Krahulov	50,53	Ne	B	1860	ul. Ruská	49° 12' 41.30041'' N	15° 52' 40.42340'' E
P3865	Třebíč - Krahulov	51,364	Ne	I.	23	ul. Pražská	49° 12' 43.00693'' N	15° 51' 59.66436'' E
P3866	Třebíč - Krahulov	52,28	Ne	I.	23	Borovina	49° 12' 35.02748'' N	15° 51' 17.21830'' E
P3867	Třebíč - Krahulov	54,157	Ne	III.	4101	není	49° 12' 35.65438'' N	15° 49' 47.79205'' E
P3868	Třebíč - Krahulov	55,467	Ne	I.	23	Krahulov	49° 12' 46.14777'' N	15° 48' 45.68201'' E
P3869	Krahulov - Okříšky	56,935	Ne	III.	40513	není	49° 13' 15.22647'' N	15° 47' 54.17168'' E
P3870	Krahulov - Okříšky	58,745	Ne	C		Hvězdoňovský	49° 13' 43.44784'' N	15° 46' 36.71436'' E
P3871	Krahulov - Okříšky	59,957	Ne	O		není	49° 14' 13.78094'' N	15° 46' 04.75116'' E
P3872	Krahulov - Okříšky	60,473	Ne	O		není	49° 14' 24.75977'' N	15° 45' 46.71593'' E
P3873	Moravské Budějovice - Třebelovice	1,087	Ne	II.	152	Dopravní ul.	49° 03' 04.18439'' N	15° 47' 58.03610'' E
P3874	Moravské Budějovice - Třebelovice	1,448	Ne	O		není	49° 02' 58.88091'' N	15° 47' 42.33049'' E
P3875	Moravské Budějovice - Třebelovice	1,874	Ne	III.	15226	není	49° 02' 45.61831'' N	15° 47' 36.99471'' E
P3876	Moravské Budějovice - Třebelovice	3,259	Ne	O		není	49° 02' 18.32066'' N	15° 46' 48.57934'' E
P3877	Moravské Budějovice - Třebelovice	4,087	Ne	O		není	49° 02' 15.39375'' N	15° 46' 08.34787'' E
P3878	Moravské Budějovice - Třebelovice	4,412	Ne	III.	15225	není	49° 02' 12.46198'' N	15° 45' 53.01170'' E
P3879	Moravské Budějovice - Třebelovice	5,433	Ne	O		není	49° 02' 01.92361'' N	15° 45' 07.27308'' E
P3880	Moravské Budějovice - Třebelovice	6,34	Ne	O		není	49° 01' 54.22592'' N	15° 44' 26.62477'' E
P3881	Moravské Budějovice - Třebelovice	7,207	Ne	O		Do Kopečka	49° 02' 03.41843'' N	15° 43' 46.86647'' E
P3883	Moravské Budějovice - Třebelovice	7,742	Ne	III.	15222	není	49° 02' 01.65164'' N	15° 43' 21.15443'' E
P3884	Moravské Budějovice - Třebelovice	8,335	Ne	O		K Bařinkám	49° 01' 44.60686'' N	15° 43' 27.04133'' E
P3885	Moravské Budějovice - Třebelovice	9,004	Ne	O		U Německých	49° 01' 38.86206'' N	15° 42' 59.28160'' E
P3886	Moravské Budějovice - Třebelovice	9,64	Ne	O		není	49° 01' 38.55362'' N	15° 42' 28.54652'' E
P3887	Moravské Budějovice - Třebelovice	10,132	Ne	O		není	49° 01' 32.33545'' N	15° 42' 07.22211'' E
P3888	Moravské Budějovice - Třebelovice	11,326	Ne	O		není	49° 01' 26.23794'' N	15° 41' 14.49168'' E
P3889	Moravské Budějovice - Třebelovice	12,585	Ne	O		Za Valovýma	49° 01' 20.48105'' N	15° 40' 25.32060'' E
P3890	Moravské Budějovice - Třebelovice	13,115	Ne	O		Za Havlovýma	49° 01' 24.83001'' N	15° 40' 00.82211'' E
P3891	Moravské Budějovice - Třebelovice	13,308	Ne	O		U zahrad	49° 01' 24.49385'' N	15° 39' 51.66133'' E
P3892	Moravské Budějovice - Třebelovice	13,465	Ne	O		K hřišti	49° 01' 20.53148'' N	15° 39' 46.93491'' E
P3893	Moravské Budějovice - Třebelovice	13,575	Ne	II.	152	není	49° 01' 17.62427'' N	15° 39' 43.99814'' E
P3894	Třebelovice - Jemnice	14,392	Ne	III.	15114	není	49° 01' 16.25599'' N	15° 39' 04.63371'' E
P3895	Třebelovice - Jemnice	15,75	Ne	O		Zášibenčí	49° 01' 26.34684'' N	15° 38' 01.73806'' E
P3896	Třebelovice - Jemnice	16,845	Ne	O		U Tří koroptví	49° 01' 25.72637'' N	15° 37' 09.38976'' E
P3897	Třebelovice - Jemnice	17,899	Ne	III.	15218	není	49° 01' 18.77332'' N	15° 36' 23.16986'' E
P3898	Třebelovice - Jemnice	18,324	Ne	O		Široká	49° 01' 08.75022'' N	15° 36' 10.79174'' E
P3899	Třebelovice - Jemnice	19,94	Ne	O		není	49° 00' 42.68339'' N	15° 35' 25.43841'' E
P3900	Studenec - Budišov u Třebíče	0,286	Ne	O		není	49° 13' 23.47509'' N	16° 03' 55.19646'' E
P3901	Studenec - Budišov u Třebíče	1,071	Ne	III.	3908	není	49° 13' 41.67058'' N	16° 03' 32.93306'' E
P3902	Studenec - Budišov u Třebíče	1,882	Ne	III.	3908	není	49° 14' 02.57508'' N	16° 03' 12.02815'' E
P3903	Studenec - Budišov u Třebíče	3,206	Ne	III.	39010	není	49° 14' 21.74636'' N	16° 02' 22.65655'' E
P3904	Studenec - Budišov u Třebíče	3,828	Ne	III.	39011	není	49° 14' 31.85022'' N	16° 01' 56.87920'' E
P3905	Studenec - Budišov u Třebíče	4,486	Ne	O		U Javoru	49° 14' 38.82391'' N	16° 01' 26.37652'' E
P3906	Studenec - Budišov u Třebíče	5,148	Ne	O		K Pyšeláku	49° 14' 57.12077'' N	16° 01' 11.53647'' E
P3907	Studenec - Budišov u Třebíče	6,953	Ne	O		není	49° 15' 51.03938'' N	16° 00' 39.12154'' E
P3908	Budišov u Třebíče - Rudíkov	8,091	Ne	II.	390	není	49° 16' 25.42502'' N	16° 00' 28.43652'' E
P3909	Budišov u Třebíče - Rudíkov	8,434	Ne	III.	39013	není	49° 16' 30.46316'' N	16° 00' 14.54159'' E
P3910	Budišov u Třebíče - Rudíkov	9,691	Ne	O		není	49° 16' 39.04497'' N	15° 59' 15.58240'' E
P3911	Budišov u Třebíče - Rudíkov	10,475	Ne	O		Dálky	49° 16' 43.17338'' N	15° 58' 37.38638'' E
P3912	Budišov u Třebíče - Rudíkov	11,037	Ne	O		Dálky k Dolňáku	49° 16' 57.31777'' N	15° 58' 23.70611'' E
P3913	Budišov u Třebíče - Rudíkov	11,595	Ne	O		Sečky	49° 17' 13.54534'' N	15° 58' 13.83729'' E
P3914	Rudíkov - Oslavice	14,721	Ne	III.	34910	není	49° 18' 20.21465'' N	15° 57' 02.37778'' E
P3915	Rudíkov - Oslavice	16,418	Ne	O		Ke dvoru	49° 18' 59.62111'' N	15° 57' 51.46670'' E
P3916	Rudíkov - Oslavice	16,839	Ne	A		U zastávky Oslavička	49° 19' 09.67187'' N	15° 57' 59.74292'' E
P3917	Rudíkov - Oslavice	17,479	Ne	II.	360	není	49° 19' 28.30074'' N	15° 58' 08.53300'' E
P3918	Rudíkov - Oslavice	18,147	Ne	MK		U ovčírny	49° 19' 46.29530'' N	15° 58' 23.97076'' E
P3919	Rudíkov - Oslavice	18,481	Ne	O		není	49° 19' 55.90546'' N	15° 58' 31.18246'' E
P3920	Rudíkov - Oslavice	20,062	Ne	C		Zastávka ČD	49° 20' 19.66811'' N	15° 59' 18.31470'' E
P3921	Oslavice - Velké Meziříčí	22,819	Ne	MK		není	49° 21' 09.60967'' N	16° 00' 33.12781'' E
P3922	Oslavice - Velké Meziříčí	23,089	Ne	MK		není	49° 21' 05.35797'' N	16° 00' 44.95858'' E
P3923	Velké Meziříčí - Křižanov	29,08	Ne	O		není	49° 22' 12.92204'' N	16° 02' 15.00182'' E
P3924	Oslavice - AGROPODNIK Velké Meziříčí	20,573	Ne	O		není	49° 20' 32.86588'' N	15° 59' 24.29291'' E
P3925	Oslavice - AGROPODNIK Velké Meziříčí	21,254	Ne	O		není	49° 20' 50.33558'' N	15° 59' 41.88224'' E
P3926	Hrušovany nad Jevišovkou - Miroslav	93,162	Ne	MK		nemá	48° 48' 47.83675'' N	16° 22' 34.74083'' E
P3927	Hrušovany nad Jevišovkou - Miroslav	95,272	Ne	II.	414	u Sedláka	48° 49' 55.45296'' N	16° 22' 26.21242'' E
P3928	Hrušovany nad Jevišovkou - Miroslav	95,621	Ne	O		U smeťáku	48° 50' 06.76467'' N	16° 22' 25.44119'' E
P3929	Hrušovany nad Jevišovkou - Miroslav	97,23	Ne	O		není	48° 50' 55.83939'' N	16° 22' 12.38146'' E
P3930	Hrušovany nad Jevišovkou - Miroslav	100,403	Ne	III.	3972	není	48° 52' 30.42230'' N	16° 22' 03.33661'' E
P3931	Hrušovany nad Jevišovkou - Miroslav	106,304	Ne	III.	4151	není	48° 55' 21.46150'' N	16° 21' 47.24389'' E
P3932	Miroslav - Rakšice	111,077	Ne	III.	40014	není	48° 57' 49.43965'' N	16° 21' 04.99380'' E
P3933	Miroslav - Rakšice	114,616	Ne	MK		není	48° 59' 18.68240'' N	16° 21' 21.24904'' E
P3934	Miroslav - Rakšice	116,104	Ne	MK		Na Leskouně	49° 00' 02.08987'' N	16° 21' 29.93485'' E
P3935	Miroslav - Rakšice	116,789	Ne	O		Ve štěrkovně	49° 00' 18.73816'' N	16° 21' 11.31965'' E
P3936	Rakšice - Moravský Krumlov	119,208	Ne	III.	3963	není	49° 01' 25.32202'' N	16° 20' 20.30314'' E
P3937	žst. Moravský Krumlov	121,766	Ne	III.	4133	Mor.Krumlov ČD	49° 02' 41.08611'' N	16° 20' 21.55065'' E
P3938	Moravský Krumlov - Moravské Bránice	125,733	Ne	O		zastávka ČD	49° 04' 03.48564'' N	16° 21' 54.22960'' E
P3939	Moravské Bránice - Ivančice	0,387	Ne	O		nemá	49° 04' 57.02979'' N	16° 25' 32.21451'' E
P3939	Moravský Krumlov - Moravské Bránice	131,477	Ne	O		nemá	49° 04' 57.02979'' N	16° 25' 32.21451'' E
P3940	Moravské Bránice - Silůvky	132,165	Ne	O		není	49° 05' 13.28748'' N	16° 25' 55.16557'' E
P3941	Moravské Bránice - Silůvky	133,22	Ne	II.	152	u Obulanových	49° 05' 32.56833'' N	16° 26' 32.88755'' E
P3942	Moravské Bránice - Silůvky	134,452	Ne	II.	152	U Hronových	49° 06' 09.23774'' N	16° 26' 46.76615'' E
P3943	žst. Silůvky	136,232	Ne	O		u žel.zastávky Silůvky	49° 06' 30.13706'' N	16° 27' 46.06118'' E
P3944	žst. Střelice	143,035	Ne	III.	3948	Žst. Střelice	49° 09' 15.28573'' N	16° 29' 17.66885'' E
P3945	Střelice - Brno-Horní Heršpice-Státní silnice	146,076	Ne	III.	15269	u žel.zastávky Troubsko	49° 09' 49.42511'' N	16° 31' 33.88831'' E
P3946	Střelice - Brno-Horní Heršpice-Státní silnice	149,238	Ne	O		K sadům, ul.Klobásova	49° 09' 43.35811'' N	16° 33' 52.29829'' E
P3947	Střelice - Brno-Horní Heršpice-Státní silnice	150,262	Ne	O		není	49° 09' 44.68098'' N	16° 34' 42.87613'' E
P3948	Moravské Bránice - Ivančice	2,838	Ne	O		Stříbský mlýn	49° 05' 32.96611'' N	16° 24' 12.61349'' E
P3949	Moravské Bránice - Ivančice	3,127	Ne	O		u žel.zast.Ivančice-Letovisko	49° 05' 41.56504'' N	16° 24' 07.24362'' E
P3950	Moravské Bránice - Ivančice	3,78	Ne	II.	152	Skřípák	49° 05' 53.22600'' N	16° 23' 47.12000'' E
P3951	Moravské Bránice - Ivančice	4,65	Ne	O		není	49° 05' 59.27380'' N	16° 23' 08.54685'' E
P3952	Moravské Bránice - Ivančice	4,917	Ne	O		u žel.zast.Ivančice-město	49° 05' 56.19924'' N	16° 22' 56.31851'' E
P3953	Moravské Bránice - Ivančice	5,23	Ne	O		přechod v Ivančicích u hřiště	49° 05' 54.30395'' N	16° 22' 41.06337'' E
P3954	Moravské Bránice - Ivančice	5,535	Ne	II.	152	u žst.Ivančice	49° 05' 53.63438'' N	16° 22' 26.09686'' E
P3955	Ivančice - Oslavany	6,177	Ne	O		Pod sídlištěm	49° 05' 56.55134'' N	16° 21' 55.14446'' E
P3955		0,154	ne	místní		pokračování ulice Na Volvách	49° 5' 56.554'' N	16° 21' 54.907'' E
P3956	Ivančice - Oslavany	7,114	Ne	II.	393	není	49° 06' 22.49036'' N	16° 21' 45.48557'' E
P3957	Ivančice - Oslavany	7,323	Ne	O		U dělbucha	49° 06' 24.69430'' N	16° 21' 35.98251'' E
P3958	Ivančice - Oslavany	7,873	Ne	O		U sila	49° 06' 35.74759'' N	16° 21' 16.98807'' E
P3959	Ivančice - Oslavany	8,845	Ne	O		U izolačních závodů	49° 07' 03.01673'' N	16° 20' 58.80774'' E
P3960	dD3 Oslavany	9,26	Ne	O			49° 07' 10.29007'' N	16° 20' 41.59103'' E
P3961	dD3 Hevlín	85,702	Ne	O		přejezd u žst.Hevlín	48° 45' 02.96655'' N	16° 23' 25.56146'' E
P3962	Hevlín - Hrušovany nad Jevišovkou	88,332	Ne	II.	415	nemá	48° 46' 27.07268'' N	16° 23' 15.37807'' E
P3963	Hevlín - Hrušovany nad Jevišovkou	89,001	Ne	O		není	48° 46' 48.89543'' N	16° 23' 15.80197'' E
P3964	Hevlín - Hrušovany nad Jevišovkou	90,211	Ne	O		není	48° 47' 27.52165'' N	16° 23' 08.17574'' E
P3965	Velký Osek - Kanín (stará spojka)	0,45	Ano	C		na zhlaví č.2	50° 06' 21.70675'' N	15° 11' 35.06662'' E
P3966	Velký Osek - Kanín (stará spojka)	1,18	Ano	O		U lesa	50° 06' 37.12657'' N	15° 12' 02.05386'' E
P3967	výh. Kanín	1,669	Ano	O		Na Kaníně	50° 06' 46.64178'' N	15° 12' 21.48415'' E
P3968	Kanín - Dobšice nad Cidlinou	4,792	Ano	III.	3289	u zast. Sány	50° 07' 47.84118'' N	15° 14' 26.73801'' E
P3969	Kanín - Dobšice nad Cidlinou	5,711	Ano	III.	32812	Badra	50° 08' 05.88401'' N	15° 15' 03.69166'' E
P3970	Kanín - Dobšice nad Cidlinou	6,545	Ano	III.	32813		50° 08' 20.86666'' N	15° 15' 38.35993'' E
P3971	Dobšice nad Cidlinou - Choťovice	7,768	Ano	O		U měnírny	50° 08' 39.23603'' N	15° 16' 33.13182'' E
P3972	Dobšice nad Cidlinou - Choťovice	8,427	Ano	III.	32818	Hradčanský	50° 08' 49.14576'' N	15° 17' 02.46093'' E
P3973	Dobšice nad Cidlinou - Choťovice	9,011	Ano	II.	328	90	50° 08' 57.81510'' N	15° 17' 28.17741'' E
P3974	Choťovice - Převýšov	12,321	Ano	O		Choťovice	50° 08' 41.52927'' N	15° 19' 59.33730'' E
P3975	Choťovice - Převýšov	17,971	Ano	III.	32734	Převýšov	50° 08' 59.41943'' N	15° 24' 21.18482'' E
P3976	Převýšov - Chlumec nad Cidlinou	19,007	Ano	O			50° 09' 26.02089'' N	15° 24' 50.86562'' E
P3977	Převýšov - Chlumec nad Cidlinou	20,62	Ano	III.	32414	U Švandy	50° 10' 03.38139'' N	15° 25' 47.97836'' E
P3977	Chlumec n/Cidlinou - Městec Králové	2,209	Ne	III.	32414	U Švandy	50° 10' 03.38139'' N	15° 25' 47.97836'' E
P3978	Převýšov - Chlumec nad Cidlinou	21,72	Ano	C		U vojáků	50° 10' 07.81685'' N	15° 26' 42.51964'' E
P3978	Chlumec n/Cidlinou - Městec Králové	1,107	Ne	C		U vojáků	50° 10' 07.81685'' N	15° 26' 42.51964'' E
P3979	žst. Chlumec nad Cidlinou - (kol. k vlečce VÚ)	0,358	Ne	O		k VÚ a Kinskému	50° 10' 13.37346'' N	15° 26' 51.70627'' E
P3980	Chlumec nad Cidlinou - Nové Město nad Cidlinou	0,324	Ano	II.	327		50° 09' 42.63478'' N	15° 27' 40.37109'' E
P3980	Chlumec n/Cidlinou - Nový Bydžov	23,137	Ne	II.	327		50° 09' 42.63478'' N	15° 27' 40.37109'' E
P3980		0,163	ne/ano	III	327		50° 9' 45.074'' N	15° 27' 27.707'' E
P3981	Nové Město nad Cidlinou - Káranice	5,915	Ano	C		Stará Voda	50° 09' 09.40580'' N	15° 31' 51.64723'' E
P3982	Nové Město nad Cidlinou - Káranice	7,202	Ano	O			50° 09' 14.73307'' N	15° 32' 56.05036'' E
P3983	žst. Káranice	7,578	Ano	III.	32728		50° 09' 16.30266'' N	15° 33' 14.78334'' E
P3983		0,08	ne	II			50° 9' 16.284'' N	15° 33' 14.801'' E
P3984	žst. Káranice	8,425	Ano	III.	32731		50° 09' 19.41860'' N	15° 33' 56.97411'' E
P3985	Káranice - Dobřenice	9,33	Ano	O			50° 09' 21.70431'' N	15° 34' 42.77420'' E
P3986	Káranice - Dobřenice	9,793	Ano	O		U Skoka	50° 09' 22.77044'' N	15° 35' 05.96805'' E
P3987	Káranice - Dobřenice	10,174	Ano	O			50° 09' 23.67908'' N	15° 35' 25.08098'' E
P3988	Káranice - Dobřenice	11,614	Ano	III.	32313	u zast. Kratonohy	50° 09' 27.09694'' N	15° 36' 37.61554'' E
P3989	Káranice - Dobřenice	12,06	Ano	O			50° 09' 28.15767'' N	15° 37' 00.40459'' E
P3990	Káranice - Dobřenice	13,572	Ano	II.	323	U Ditricha	50° 09' 31.69232'' N	15° 38' 15.91185'' E
P3991	Dobřenice - Praskačka	15,206	Ano	III.	32316		50° 09' 35.41244'' N	15° 39' 38.18497'' E
P3992	Dobřenice - Praskačka	16,645	Ano	O		U 10	50° 09' 46.11673'' N	15° 40' 48.13585'' E
P3993	Dobřenice - Praskačka	17,837	Ano	III.	32319	Lhota	50° 09' 59.70404'' N	15° 41' 44.51000'' E
P3994	Dobřenice - Praskačka	18,707	Ano	O		U smeťáku	50° 10' 09.62911'' N	15° 42' 25.63970'' E
P3995	Dobřenice - Praskačka	19,632	Ano	O		U Cibulky	50° 10' 20.13646'' N	15° 43' 09.30387'' E
P3996	Praskačka - Plačice	20,918	Ano	III.	32326		50° 10' 34.72262'' N	15° 44' 10.02774'' E
P3997	Praskačka - Plačice	21,907	Ano	III.	32326	Vlčkovice	50° 10' 46.59529'' N	15° 44' 56.34148'' E
P3998	Praskačka - Plačice	22,462	Ano	O		Vydra	50° 10' 54.32549'' N	15° 45' 21.45075'' E
P3999	Plačice - Hradec Králové hl.n.	25,119	Ano	O		Panelárna	50° 11' 41.03706'' N	15° 47' 12.53346'' E
P4000	Plačice - Hradec Králové hl.n.	26,195	Ano	C		u zast. Kukleny	50° 12' 05.76672'' N	15° 47' 50.80384'' E
P4001	Plačice - Hradec Králové hl.n.	26,736	Ano	C		Kurty	50° 12' 18.15774'' N	15° 48' 10.09036'' E
P4002	žst. Hradec Králové hl.n.	28,72	Ano	C		Na Důchodě	50° 13' 16.75371'' N	15° 48' 42.92105'' E
P4003	Hradec Králové hl.n. - Měnírna Hradec Králové	29,133	Ano	O		Lakovar	50° 13' 23.35479'' N	15° 48' 59.83533'' E
P4003		0,11	ano			Za Fotoche-mou	50° 13' 22.800'' N	15° 49' 04.800'' E
P4004	Hradec Králové hl.n. - Měnírna Hradec Králové	29,34	Ano	C		Plácka 17	50° 13' 23.06309'' N	15° 49' 10.55759'' E
P4005	Měnírna Hradec Králové - Hradec Králové-Slezské Předměstí	30,918	Ano	III.	2997	Pouchov	50° 13' 20.59981'' N	15° 50' 30.46371'' E
P4006	Měnírna Hradec Králové - Hradec Králové-Slezské Předměstí	31,59	Ano	MK		přechod	50° 13' 19.55304'' N	15° 51' 04.33579'' E
P4007	Hradec Králové-Slezské Předměstí - Třebechovice pod Orebem	33,71	Ano	O		Zajícova rampa	50° 13' 16.22104'' N	15° 52' 50.95935'' E
P4008	Hradec Králové-Slezské Předměstí - Třebechovice pod Orebem	34,004	Ano	O		U Kahana	50° 13' 15.76116'' N	15° 53' 05.57080'' E
P4010	Hradec Králové-Slezské Předměstí - Třebechovice pod Orebem	37,735	Ano	O		u zast. Blešno	50° 12' 53.05293'' N	15° 56' 09.00925'' E
P4011	Hradec Králové-Slezské Předměstí - Třebechovice pod Orebem	39,022	Ano	O		Štorkova	50° 12' 37.77640'' N	15° 57' 09.42935'' E
P4012	Hradec Králové-Slezské Předměstí - Třebechovice pod Orebem	39,319	Ano	O		Malá Asie	50° 12' 34.27713'' N	15° 57' 23.16677'' E
P4013	Hradec Králové-Slezské Předměstí - Třebechovice pod Orebem	39,577	Ano	O		Barešova rampa	50° 12' 31.16200'' N	15° 57' 35.51352'' E
P4014	Hradec Králové-Slezské Předměstí - Třebechovice pod Orebem	40,32	Ano	II.	29822	U cikánů	50° 12' 19.65210'' N	15° 58' 08.47627'' E
P4015	žst. Třebechovice p/O	40,885	Ano	O		U hradla	50° 12' 09.81357'' N	15° 58' 32.44960'' E
P4016	Třebechovice p/O - Týniště n/Orlicí	41,692	Ano	C		U Tanexu	50° 11' 55.79472'' N	15° 59' 06.77253'' E
P4017	Třebechovice p/O - Týniště n/Orlicí	42,042	Ano	II.	298	Krňovický	50° 11' 49.74372'' N	15° 59' 21.72758'' E
P4018	Třebechovice p/O - Týniště n/Orlicí	42,45	Ano	III.	29831	Štěnkov	50° 11' 42.60667'' N	15° 59' 39.16223'' E
P4019	Třebechovice p/O - Týniště n/Orlicí	43,446	Ano	C		Amerika	50° 11' 25.46265'' N	16° 00' 21.44826'' E
P4020	Třebechovice p/O - Týniště n/Orlicí	44,688	Ano	O		1. stav.	50° 11' 03.93336'' N	16° 01' 14.46322'' E
P4021	Třebechovice p/O - Týniště n/Orlicí	46,262	Ano	O		Petrovice 1	50° 10' 36.52653'' N	16° 02' 21.40990'' E
P4022	Třebechovice p/O - Týniště n/Orlicí	46,838	Ano	O		Petrovice2	50° 10' 25.72265'' N	16° 02' 45.27207'' E
P4023	žst. Týniště n/Orlicí	49,172	Ano	C		0	50° 09' 32.37517'' N	16° 04' 07.24217'' E
P4024	Měnírna Týniště n. O. - Týniště n/Orlicí	23,117	Ano	B			50° 09' 04.04462'' N	16° 04' 43.50985'' E
P4024	Týniště n/Orlicí - Častolovice	50,303	Ano	B			50° 09' 04.04462'' N	16° 04' 43.50985'' E
P4025	Týniště n/Orlicí - Častolovice	51,449	Ne	O			50° 08' 42.87103'' N	16° 05' 30.24558'' E
P4026	Týniště n/Orlicí - Častolovice	52,142	Ne	II.	304		50° 08' 32.07659'' N	16° 06' 00.97110'' E
P4027	Týniště n/Orlicí - Častolovice	53,277	Ne	O			50° 08' 14.46554'' N	16° 06' 51.05562'' E
P4028	Týniště n/Orlicí - Častolovice	53,75	Ne	O			50° 08' 07.12142'' N	16° 07' 12.08245'' E
P4029	Týniště n/Orlicí - Častolovice	54,65	Ne	III.	30432		50° 07' 54.37120'' N	16° 07' 52.61946'' E
P4030	Týniště n/Orlicí - Častolovice	55,85	Ne	III.	3209	u zast. Čestice	50° 07' 49.16190'' N	16° 08' 52.48490'' E
P4031	Častolovice - Kostelec n/Orlicí	58,262	Ne	O			50° 07' 42.26439'' N	16° 10' 52.59044'' E
P4031	Častolovice - Rychnov n/Kněžnou	0,549	Ne	O			50° 07' 42.26439'' N	16° 10' 52.59044'' E
P4032	Častolovice - Kostelec n/Orlicí	58,966	Ne	O			50° 07' 31.84709'' N	16° 11' 23.41692'' E
P4033	Častolovice - Kostelec n/Orlicí	60,297	Ne	II.	316	u zast. Kostelec město	50° 07' 10.92298'' N	16° 12' 19.90601'' E
P4034	Častolovice - Kostelec n/Orlicí	60,587	Ne	C		Ke koupališti	50° 07' 07.81222'' N	16° 12' 33.52529'' E
P4035	Kostelec n/Orlicí - Doudleby n/Orlicí	61,989	Ne	III.	3161		50° 06' 54.52491'' N	16° 13' 38.83352'' E
P4035		0,0755	ne	III			50° 6' 54.948'' N	16° 13' 39.823'' E
P4036	Kostelec n/Orlicí - Doudleby n/Orlicí	63,126	Ne	C	0	ACHP	50° 06' 42.83251'' N	16° 14' 32.14974'' E
P4037	žst. Doudleby n/Orlicí	64,112	Ne	O			50° 06' 35.42417'' N	16° 15' 20.40130'' E
P4038	žst. Doudleby n/Orlicí	64,614	Ne	III.	3164	u hradla Doudleby	50° 06' 29.18590'' N	16° 15' 43.07013'' E
P4039	Doudleby n/Orlicí - Potštejn	65,399	Ne	O			50° 06' 19.75359'' N	16° 16' 19.66572'' E
P4040	Doudleby n/Orlicí - Potštejn	66,789	Ne	O			50° 06' 04.49782'' N	16° 17' 25.22557'' E
P4041	Doudleby n/Orlicí - Potštejn	67,275	Ne	C		u zast. Záměl	50° 06' 00.16790'' N	16° 17' 46.89347'' E
P4042	Doudleby n/Orlicí - Potštejn	67,792	Ne	O			50° 05' 52.48992'' N	16° 18' 06.40989'' E
P4043	Doudleby n/Orlicí - Potštejn	68,614	Ne	O			50° 05' 35.39915'' N	16° 18' 35.86735'' E
P4044	Potštejn - Litice n/Orlicí	70,197	Ne	III.	1425	u dřevařských závodů	50° 04' 48.49698'' N	16° 19' 04.73624'' E
P4045	Potštejn - Litice n/Orlicí	71,141	Ne	MK		u býků	50° 04' 29.28494'' N	16° 19' 31.45848'' E
